url;id;name;year;duration;imdb-popularity;budget;box-office
https://www.imdb.com/title/tt0054047/;0;Великолепная семерка;1960;128;1123;2.0;0.0
https://www.imdb.com/title/tt0266543/;0266543;В поисках Немо;2003;100;818;94.0;940.4
https://www.imdb.com/title/tt0032138/;0032138;Волшебник страны Оз;1939;102;814;2.8;25.6
https://www.imdb.com/title/tt7653254/;7653254;История о супружестве;2019;137;1013;18.6;0.3
https://www.imdb.com/title/tt3416742/;3416742;Реальные упыри;2014;86;782;1.6;7.3
https://www.imdb.com/title/tt0056172/;0056172;Лоуренс Аравийский;1962;218;1203;15.0;45.7
https://www.imdb.com/title/tt0120762/;0120762;Мулан;1998;88;1312;90.0;304.3
https://www.imdb.com/title/tt0105236/;0105236;Бешеные псы;1992;99;608;1.2;2.9
https://www.imdb.com/title/tt1631867/;1631867;Грань будущего;2014;113;649;178.0;370.5
https://www.imdb.com/title/tt0082971/;0082971;Индиана Джонс: В поисках утраченного ковчега;1981;115;337;18.0;389.9
https://www.imdb.com/title/tt1798709/;1798709;Она;2013;126;332;23.0;48.5
https://www.imdb.com/title/tt0472043/;0472043;Апокалипсис;2006;139;794;40.0;120.7
https://www.imdb.com/title/tt0093058/;0093058;Цельнометаллическая оболочка;1987;116;614;30.0;46.4
https://www.imdb.com/title/tt0317248/;0317248;Город Бога;2002;130;597;3.3;30.7
https://www.imdb.com/title/tt0053291/;0053291;В джазе только девушки;1959;121;461;2.9;0.2
https://www.imdb.com/title/tt0070047/;0070047;Изгоняющий дьявола;1973;122;648;11.0;441.3
https://www.imdb.com/title/tt0421715/;0421715;Загадочная история Бенджамина Баттона;2008;166;759;150.0;335.8
https://www.imdb.com/title/tt0097165/;0097165;Общество мёртвых поэтов;1989;128;710;16.4;235.9
https://www.imdb.com/title/tt4846340/;4846340;Скрытые фигуры;2016;127;423;25.0;236.0
https://www.imdb.com/title/tt0084787/;0084787;Нечто;1982;109;817;15.0;19.6
https://www.imdb.com/title/tt0151804/;0151804;Офисное пространство;1999;89;749;10.0;10.8
https://www.imdb.com/title/tt0457430/;0457430;Лабиринт Фавна;2006;118;722;19.0;83.9
https://www.imdb.com/title/tt0095016/;0095016;Крепкий орешек;1988;132;679;28.0;141.6
https://www.imdb.com/title/tt3659388/;3659388;Марсианин;2015;144;685;108.0;630.2
https://www.imdb.com/title/tt0166924/;0166924;Малхолланд Драйв;2001;147;611;15.0;20.3
https://www.imdb.com/title/tt5027774/;5027774;Три билборда на границе Эббинга, Миссури;2017;115;610;15.0;160.3
https://www.imdb.com/title/tt0381849/;0381849;Поезд на Юму;2007;122;984;55.0;70.0
https://www.imdb.com/title/tt1605783/;1605783;Полночь в Париже;2011;94;667;17.0;151.7
https://www.imdb.com/title/tt4016934/;4016934;Служанка;2016;145;562;10000.0;37.8
https://www.imdb.com/title/tt0099785/;0099785;Один дома;1990;103;738;18.0;476.7
https://www.imdb.com/title/tt0119008/;0119008;Донни Браско;1997;127;686;35.0;124.9
https://www.imdb.com/title/tt1748122/;1748122;Королевство полной луны;2012;94;705;16.0;68.3
https://www.imdb.com/title/tt0266697/;0266697;Убить Билла;2003;111;591;30.0;180.9
https://www.imdb.com/title/tt0058150/;0058150;Goldfinger;1964;110;2668;3.0;51.2
https://www.imdb.com/title/tt0119488/;0119488;Секреты Лос-Анджелеса;1997;138;629;35.0;126.2
https://www.imdb.com/title/tt0363163/;0363163;Бункер;2004;156;627;13.5;92.2
https://www.imdb.com/title/tt0099348/;0099348;Танцующий с волками;1990;181;819;22.0;424.2
https://www.imdb.com/title/tt0382932/;0382932;Рататуй;2007;111;570;150.0;623.7
https://www.imdb.com/title/tt0443706/;0443706;Зодиак;2007;157;179;65.0;84.8
https://www.imdb.com/title/tt0783233/;0783233;Искупление;2007;123;469;30.0;131.0
https://www.imdb.com/title/tt1045658/;1045658;Мой парень - псих;2012;122;821;21.0;236.4
https://www.imdb.com/title/tt1950186/;1950186;Ford против Ferrari;2019;152;662;97.6;225.5
https://www.imdb.com/title/tt0796366/;0796366;Звёздный путь;2009;127;575;150.0;385.7
https://www.imdb.com/title/tt1074638/;1074638;007: Координаты «Скайфолл»;2012;143;745;200.0;1108.6
https://www.imdb.com/title/tt0118799/;0118799;Жизнь прекрасна;1997;116;536;20.0;230.1
https://www.imdb.com/title/tt0398286/;0398286;Рапунцель: Запутанная история;2010;100;815;260.0;592.5
https://www.imdb.com/title/tt0120586/;0120586;Американская история Икс;1998;119;622;20.0;23.9
https://www.imdb.com/title/tt1517451/;1517451;Звезда родилась;2018;136;499;36.0;436.2
https://www.imdb.com/title/tt0054215/;0054215;Психо;1960;109;703;0.8;32.0
https://www.imdb.com/title/tt0425112/;0425112;Типа крутые легавые;2007;121;850;8.0;80.7
https://www.imdb.com/title/tt0077416/;0077416;Охотник на оленей;1978;183;766;15.0;49.1
https://www.imdb.com/title/tt0105695/;0105695;Непрощенный;1992;130;748;14.4;159.2
https://www.imdb.com/title/tt0167404/;0167404;Шестое чувство;1999;107;400;40.0;672.8
https://www.imdb.com/title/tt0268978/;0268978;Игры разума;2001;135;671;58.0;316.8
https://www.imdb.com/title/tt0083866/;0083866;E.T. the Extra-Terrestrial;1982;115;723;10.5;792.9
https://www.imdb.com/title/tt2096673/;2096673;Головоломка;2015;95;777;175.0;858.8
https://www.imdb.com/title/tt1454029/;1454029;Прислуга;2011;146;646;25.0;216.6
https://www.imdb.com/title/tt0240772/;0240772;Одиннадцать друзей Оушена;2001;116;472;85.0;450.7
https://www.imdb.com/title/tt11032374/;0;Истребитель демонов: Поезд «Бесконечный»;2020;117;1057;0.0;454.8
https://www.imdb.com/title/tt1403865/;1403865;Железная хватка;2010;110;684;38.0;252.3
https://www.imdb.com/title/tt2872718/;2872718;Стрингер;2014;117;619;8.5;47.4
https://www.imdb.com/title/tt1877832/;1877832;Люди Икс: Дни минувшего будущего;2014;132;795;200.0;746.0
https://www.imdb.com/title/tt0347149/;0347149;Ходячий замок;2004;119;757;24.0;236.3
https://www.imdb.com/title/tt1250777/;1250777;Пипец;2010;117;416;30.0;96.2
https://www.imdb.com/title/tt0211915/;0211915;Амели;2001;122;871;10.0;174.1
https://www.imdb.com/title/tt0114709/;0114709;История игрушек;1995;81;716;30.0;394.4
https://www.imdb.com/title/tt0401792/;0401792;Город грехов;2005;124;904;40.0;158.7
https://www.imdb.com/title/tt1675434/;1675434;1+1;2011;112;772;9.5;426.6
https://www.imdb.com/title/tt1895587/;1895587;В центре внимания;2015;129;830;20.0;98.7
https://www.imdb.com/title/tt0086879/;0086879;Амадей;1984;160;867;18.0;52.1
https://www.imdb.com/title/tt0108037/;0;Площадка;1993;101;549;0.0;34.3
https://www.imdb.com/title/tt0067992/;0067992;Willy Wonka & the Chocolate Factory;1971;100;836;3.0;0.6
https://www.imdb.com/title/tt0091042/;0091042;Выходной день Ферриса Бьюллера;1986;103;767;6.0;70.7
https://www.imdb.com/title/tt0434409/;0434409;«V» значит Вендетта;2005;132;476;54.0;132.5
https://www.imdb.com/title/tt0210945/;0210945;Вспоминая Титанов;2000;113;954;30.0;136.8
https://www.imdb.com/title/tt0257044/;0257044;Проклятый путь;2002;117;1001;80.0;181.0
https://www.imdb.com/title/tt0450259/;0450259;Кровавый алмаз;2006;143;948;100.0;171.7
https://www.imdb.com/title/tt0095327/;0095327;Могила светлячков;1988;89;962;3.7;0.5
https://www.imdb.com/title/tt5311514/;5311514;Твоё имя;2016;106;806;370.0;358.2
https://www.imdb.com/title/tt0077651/;0077651;Хэллоуин;1978;91;1006;0.3;47.2
https://www.imdb.com/title/tt0099674/;0099674;Крестный отец: Часть III;1990;162;571;54.0;136.9
https://www.imdb.com/title/tt0079417/;0079417;Kramer vs. Kramer;1979;105;2595;8.0;106.3
https://www.imdb.com/title/tt0190590/;0190590;О где же ты брат?;2000;107;941;26.0;71.9
https://www.imdb.com/title/tt0432283/;0432283;Бесподобный мистер Фокс;2009;87;849;40.0;46.5
https://www.imdb.com/title/tt0162222/;0162222;Изгой;2000;143;990;90.0;429.6
https://www.imdb.com/title/tt0059742/;0059742;Звуки музыки;1965;172;781;8.2;159.4
https://www.imdb.com/title/tt0289879/;0289879;Эффект бабочки;2004;113;737;13.0;96.8
https://www.imdb.com/title/tt3170832/;3170832;Комната;2015;118;881;13.0;35.4
https://www.imdb.com/title/tt0175880/;0175880;Магнолия;1999;188;1045;37.0;48.5
https://www.imdb.com/title/tt0265666/;0265666;Семейка Тененбаум;2001;110;936;21.0;71.4
https://www.imdb.com/title/tt0119174/;0119174;Игра;1997;129;800;50.0;109.4
https://www.imdb.com/title/tt0093870/;0093870;Робокоп;1987;102;1052;13.0;53.4
https://www.imdb.com/title/tt0103639/;0103639;Аладдин;1992;90;1130;28.0;504.1
https://www.imdb.com/title/tt0936501/;0936501;Заложница;2008;90;617;25.0;226.8
https://www.imdb.com/title/tt1049413/;1049413;Вверх;2009;96;923;175.0;735.1
https://www.imdb.com/title/tt0325710/;0325710;Последний самурай;2003;154;991;140.0;454.6
https://www.imdb.com/title/tt0126029/;0126029;Шрэк;2001;90;569;60.0;488.4
https://www.imdb.com/title/tt0095953/;0095953;Человек дождя;1988;133;1177;25.0;354.8
https://www.imdb.com/title/tt0100157/;0100157;Мизери;1990;107;1143;20.0;61.3
https://www.imdb.com/title/tt0075148/;0075148;Рокки;1976;120;841;1.0;117.3
https://www.imdb.com/title/tt0054047/;0;Великолепная семерка;1960;128;1123;2.0;0.0
https://www.imdb.com/title/tt0266543/;0266543;В поисках Немо;2003;100;818;94.0;940.4
https://www.imdb.com/title/tt0032138/;0032138;Волшебник страны Оз;1939;102;814;2.8;25.6
https://www.imdb.com/title/tt7653254/;7653254;История о супружестве;2019;137;1013;18.6;0.3
https://www.imdb.com/title/tt3416742/;3416742;Реальные упыри;2014;86;782;1.6;7.3
https://www.imdb.com/title/tt0056172/;0056172;Лоуренс Аравийский;1962;218;1203;15.0;45.7
https://www.imdb.com/title/tt0120762/;0120762;Мулан;1998;88;1312;90.0;304.3
https://www.imdb.com/title/tt0088939/;0088939;The Color Purple;1985;154;1453;15.0;98.5
https://www.imdb.com/title/tt0378194/;0378194;Убить Билла 2;2004;137;1559;30.0;154.1
https://www.imdb.com/title/tt2980516/;2980516;Вселенная Стивена Хокинга;2014;123;1672;15.0;123.7
https://www.imdb.com/title/tt0087884/;0087884;Париж, Техас;1984;145;2921;1.2;2.2
https://www.imdb.com/title/tt1136608/;1136608;Район No 9;2009;112;1726;30.0;210.9
https://www.imdb.com/title/tt1189073/;1189073;Кожа, в которой я живу;2011;120;1839;10.0;33.8
https://www.imdb.com/title/tt0118694/;0118694;Любовное настроение;2000;98;1633;20.0;14.2
https://www.imdb.com/title/tt0054698/;0054698;Завтрак у «Тиффани»;1961;115;1724;2.5;0.6
https://www.imdb.com/title/tt0440963/;0440963;Ультиматум Борна;2007;115;1731;110.0;444.1
https://www.imdb.com/title/tt0114388/;0114388;Разум и чувства;1995;136;1021;16.0;134.6
https://www.imdb.com/title/tt0405159/;0405159;Малышка на миллион;2004;132;1334;30.0;216.8
https://www.imdb.com/title/tt0083944/;0083944;Рэмбо: Первая кровь;1982;93;1772;15.0;125.2
https://www.imdb.com/title/tt0245574/;0245574;И твою маму тоже;2001;106;1293;2.0;33.6
https://www.imdb.com/title/tt0105323/;0105323;Запах женщины;1992;156;1411;31.0;134.1
https://www.imdb.com/title/tt1318514/;1318514;Восстание планеты обезьян;2011;105;885;93.0;481.8
https://www.imdb.com/title/tt0964517/;0964517;Боец;2010;116;1218;25.0;129.2
https://www.imdb.com/title/tt0780536/;0780536;Залечь на дно в Брюгге;2008;107;1258;15.0;34.1
https://www.imdb.com/title/tt0096874/;0096874;Назад в будущее 2;1989;108;1516;40.0;332.5
https://www.imdb.com/title/tt0041959/;0041959;Третий человек;1949;104;2969;20.0;1.2
https://www.imdb.com/title/tt0052357/;0052357;Головокружение;1958;128;1804;2.5;7.8
https://www.imdb.com/title/tt0090756/;0090756;Синий бархат;1986;120;1029;6.0;8.6
https://www.imdb.com/title/tt0099487/;0099487;Эдвард руки-ножницы;1990;105;1394;20.0;86.0
https://www.imdb.com/title/tt0096438/;0096438;Кто подставил кролика Роджера;1988;104;1689;70.0;329.8
https://www.imdb.com/title/tt0106856/;0106856;С меня хватит!;1993;113;1617;25.0;40.9
https://www.imdb.com/title/tt0108550/;0108550;Что гложет Гилберта Грейпа?;1993;118;1393;11.0;10.0
https://www.imdb.com/title/tt0098635/;0098635;Когда Гарри встретил Салли...;1989;95;2054;16.0;93.3
https://www.imdb.com/title/tt1588170/;0;Я видел Дьявола;2010;144;1805;0.0;13.0
https://www.imdb.com/title/tt0117381/;0117381;Первобытный страх;1996;129;1431;30.0;102.6
https://www.imdb.com/title/tt1028532/;1028532;Хатико: самый верный друг;2009;93;1428;16.0;46.7
https://www.imdb.com/title/tt0101507/;0101507;Boyz n the Hood;1991;112;1439;6.5;57.5
https://www.imdb.com/title/tt0181865/;0181865;Траффик;2000;147;1950;48.0;207.5
https://www.imdb.com/title/tt0061852/;0061852;Книга джунглей;1967;78;2235;4.0;205.8
https://www.imdb.com/title/tt0327597/;0327597;Коралина в стране кошмаров;2009;100;1455;60.0;124.6
https://www.imdb.com/title/tt0058461/;0058461;Per un pugno di dollari;1964;99;2245;0.2;14.5
https://www.imdb.com/title/tt0104797/;0104797;Малкольм Икс;1992;202;1139;33.0;48.2
https://www.imdb.com/title/tt1139797/;1139797;Впусти меня;2008;114;1456;4.0;11.2
https://www.imdb.com/title/tt0057115/;0057115;Большой побег;1963;172;1729;4.0;0.2
https://www.imdb.com/title/tt0082096/;0082096;Подводная лодка;1981;149;1695;32.0;11.5
https://www.imdb.com/title/tt1899353/;1899353;Рейд;2011;101;2288;1.1;9.1
https://www.imdb.com/title/tt0119177/;0119177;Гаттака;1997;106;1256;36.0;12.5
https://www.imdb.com/title/tt0107818/;0107818;Филадельфия;1993;125;1191;26.0;206.7
https://www.imdb.com/title/tt0485947/;0485947;Господин Никто;2009;141;1581;47.0;3.6
https://www.imdb.com/title/tt1065073/;1065073;Отрочество;2014;165;2012;4.0;48.1
https://www.imdb.com/title/tt0080455/;0080455;Братья Блюз;1980;133;1692;27.0;115.2
https://www.imdb.com/title/tt0120601/;0120601;Быть Джоном Малковичем;1999;113;1980;13.0;23.1
https://www.imdb.com/title/tt0081398/;0081398;Бешеный бык;1980;129;2070;18.0;23.4
https://www.imdb.com/title/tt1542344/;1542344;127 часов;2010;94;2158;18.0;60.7
https://www.imdb.com/title/tt0052618/;0052618;Бен-Гур;1959;212;1773;15.0;74.4
https://www.imdb.com/title/tt0056592/;0056592;Убить пересмешника;1962;129;1632;2.0;0.6
https://www.imdb.com/title/tt0074958/;0074958;Телесеть;1976;121;444;3.8;23.7
https://www.imdb.com/title/tt0128445/;0128445;Академия Рашмор;1998;93;1933;9.0;17.2
https://www.imdb.com/title/tt0072890/;0072890;Собачий полдень;1975;125;2023;1.8;50.0
