Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-04;00:00:00;8;4;;;;70.0
2018-01-05;00:00:00;8;4;;;;70.0
2018-01-06;00:00:00;8;4;;;;70.0
2018-01-07;00:00:00;8;4;;;;70.0
2018-01-29;00:00:00;8;4;;;;70.0
2018-01-30;00:00:00;8;4;;;;70.0
2018-01-31;00:00:00;8;4;;;;70.0
2018-02-01;00:00:00;2;4;;;;70.0
2018-02-02;00:00:00;2;4;;;;71.4
2018-02-03;00:00:00;2;4;;;;71.4
2018-02-04;00:00:00;2;4;;;;71.4
2018-02-05;00:00:00;2;4;;;;71.4
2018-02-06;00:00:00;2;4;;;;71.4
2018-02-07;00:00:00;2;4;;;;70.1
2018-02-08;00:00:00;2;4;;;;71.4
2018-02-09;00:00:00;2;4;;;;71.4
2018-02-10;00:00:00;2;4;;;;71.4
2018-02-11;00:00:00;2;4;;;;71.4
2018-02-12;00:00:00;2;4;;;;71.4
2018-02-13;00:00:00;2;4;;;;71.4
2018-02-14;00:00:00;2;4;;;;71.4
2018-02-15;00:00:00;2;4;;;;71.4
2018-02-16;00:00:00;2;4;;;;71.4
2018-02-17;00:00:00;2;4;;;;71.4
2018-02-18;00:00:00;2;4;;;;71.4
2018-02-19;00:00:00;2;4;;;;71.4
2018-02-20;00:00:00;2;4;;;;71.4
2018-02-21;00:00:00;2;4;;;;71.4
2018-02-22;00:00:00;2;4;;;;71.4
2018-02-23;00:00:00;2;4;;;;71.4
2018-02-24;00:00:00;2;4;;;;71.4
2018-02-25;00:00:00;2;4;;;;71.4
2018-02-26;00:00:00;2;4;;;;71.4
2018-02-27;00:00:00;2;4;;;;71.4
2018-02-28;00:00:00;2;4;;;;71.4
2018-03-01;00:00:00;2;4;;;;71.4
2018-03-02;00:00:00;2;4;;;;71.4
2018-03-03;00:00:00;2;4;;;;71.4
2018-03-04;00:00:00;2;4;;;;71.4
2018-03-05;00:00:00;2;4;;;;71.4
2018-03-06;00:00:00;2;4;;;;71.4
2018-03-07;00:00:00;2;4;;;;71.4
2018-03-08;00:00:00;2;4;;;;71.4
2018-03-09;00:00:00;2;4;;;;71.4
2018-03-10;00:00:00;2;4;;;;71.4
2018-03-11;00:00:00;2;4;;;;71.4
2018-03-12;00:00:00;2;4;;;;71.4
2018-03-13;00:00:00;2;4;;;;71.4
2018-03-14;00:00:00;2;4;;;;71.4
2018-03-15;00:00:00;2;4;;;;71.4
2018-03-16;00:00:00;2;4;;;;71.4
2018-03-17;00:00:00;2;4;;;;71.4
2018-03-18;00:00:00;2;4;;;;71.4
2018-03-19;00:00:00;2;4;;;;71.4
2018-03-20;00:00:00;2;4;;;;71.4
2018-03-21;00:00:00;2;4;;;;71.4
2018-03-22;00:00:00;2;4;;;;71.4
2018-03-23;00:00:00;2;4;;;;73.7
2018-03-24;00:00:00;2;4;;;;73.7
2018-03-25;00:00:00;2;4;;;;73.7
2018-03-26;00:00:00;2;4;;;;73.7
2018-03-27;00:00:00;2;4;;;;73.7
2018-03-28;00:00:00;2;4;;;;73.7
2018-03-29;00:00:00;2;4;;;;73.7
2018-03-30;00:00:00;2;4;;;;73.7
2018-03-31;00:00:00;2;4;;;;73.7
