Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-02;00:00:00;8;1;0.0;53.8;38.7;59.0
2018-01-03;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-04;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-05;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-06;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-07;00:00:00;8;1;0.0;54.8;39.2;59.0
2018-01-08;00:00:00;8;1;0.0;54.8;39.2;59.0
2018-01-09;00:00:00;8;1;0.0;54.8;39.2;59.0
2018-01-10;00:00:00;8;1;0.0;53.8;38.7;59.0
2018-01-11;00:00:00;8;1;0.0;53.8;38.7;59.0
2018-01-12;00:00:00;8;1;0.0;53.8;38.7;59.0
2018-01-13;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-14;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-15;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-16;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-17;00:00:00;8;1;0.0;53.8;38.7;59.0
2018-01-18;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-19;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-20;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-21;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-22;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-23;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-24;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-25;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-26;00:00:00;8;1;0.0;53.8;39.3;59.0
2018-01-27;00:00:00;8;1;0.0;53.8;38.1;59.0
2018-01-28;00:00:00;8;1;0.0;53.8;38.1;59.0
2018-01-29;00:00:00;8;1;0.0;53.8;38.1;59.0
2018-01-30;00:00:00;8;1;0.0;53.8;38.1;59.0
2018-01-31;00:00:00;8;1;0.0;53.8;38.1;59.0
2018-02-01;00:00:00;4;1;0.0;53.8;;59.0
2018-02-02;00:00:00;4;1;0.0;53.8;;59.0
2018-02-03;00:00:00;4;1;0.0;53.8;;59.0
2018-02-04;00:00:00;4;1;0.0;53.8;;59.0
2018-02-05;00:00:00;4;1;0.0;53.9;;59.0
2018-02-06;00:00:00;4;1;0.0;53.9;;59.0
2018-02-07;00:00:00;4;1;0.0;53.9;;59.0
2018-02-08;00:00:00;4;1;0.0;;;48.0
2018-02-09;00:00:00;4;1;0.0;;;48.0
2018-02-10;00:00:00;4;1;0.0;;;48.0
