Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;;;89.7;186.8
2018-01-02;00:00:00;8;1;;;89.7;186.8
2018-01-03;00:00:00;8;1;;;89.7;186.8
2018-02-01;00:00:00;4;1;;;;169.0
2018-02-02;00:00:00;4;1;;;;169.0
2018-02-03;00:00:00;4;1;;;;169.0
2018-02-04;00:00:00;4;1;;;;169.0
2018-02-05;00:00:00;4;1;;;;169.0
2018-02-06;00:00:00;4;1;;;;169.0
2018-02-07;00:00:00;4;1;;;;169.0
2018-02-08;00:00:00;4;1;;;;169.0
2018-02-09;00:00:00;4;1;;;;169.0
2018-02-10;00:00:00;4;1;;;;169.0
2018-02-11;00:00:00;4;1;;;;169.0
2018-02-12;00:00:00;4;1;;;;169.0
2018-02-13;00:00:00;4;1;;;;169.0
2018-02-14;00:00:00;4;1;;;;169.0
2018-02-15;00:00:00;4;1;;;;169.0
2018-02-16;00:00:00;4;1;;;;169.0
2018-02-17;00:00:00;4;1;;;;169.0
2018-02-18;00:00:00;4;1;;;;169.0
2018-02-19;00:00:00;4;1;;;;169.0
2018-02-20;00:00:00;4;1;;;;169.0
2018-02-21;00:00:00;4;1;;;;169.0
2018-02-22;00:00:00;4;1;;;;169.0
2018-02-23;00:00:00;4;1;;;;169.0
2018-02-24;00:00:00;4;1;;;;169.0
2018-02-25;00:00:00;4;1;;;;169.0
2018-02-26;00:00:00;4;1;;;;169.0
2018-02-27;00:00:00;4;1;;;;169.0
2018-02-28;00:00:00;4;1;;;;169.0
2018-04-28;00:00:00;2;1;;;;177.4
2018-04-29;00:00:00;2;1;;;;177.4
2018-04-30;00:00:00;2;1;;;;177.4
2018-05-01;00:00:00;2;1;;;;177.4
2018-05-02;00:00:00;2;1;;;;177.4
2018-05-03;00:00:00;2;1;;;;177.4
2018-05-04;00:00:00;2;1;;;;177.4
2018-05-05;00:00:00;2;1;;;;177.4
2018-05-06;00:00:00;2;1;;;;177.4
2018-05-07;00:00:00;2;1;;;;177.4
2018-05-08;00:00:00;2;1;;;;177.4
2018-05-09;00:00:00;2;1;;;;177.4
2018-05-10;00:00:00;2;1;;;;177.4
2018-05-11;00:00:00;2;1;;;;177.4
2018-05-12;00:00:00;2;1;;;;177.4
2018-05-13;00:00:00;2;1;;;;177.4
2018-05-14;00:00:00;2;1;;;;177.4
2018-05-15;00:00:00;2;1;;;;177.4
2018-05-16;00:00:00;2;1;;;;177.4
2018-05-17;00:00:00;2;1;;;;177.4
2018-05-18;00:00:00;2;1;;;;178.9
2018-05-19;00:00:00;2;1;;;;178.9
2018-07-17;00:00:00;2;1;;;;178.9
2018-07-18;00:00:00;2;1;;;;178.9
2018-07-19;00:00:00;2;1;;;;178.9
2018-07-20;00:00:00;2;1;;;;178.9
2018-07-21;00:00:00;2;1;;;;178.9
2018-07-22;00:00:00;2;1;;;;178.9
2018-07-23;00:00:00;2;1;;;;180.7
2018-07-24;00:00:00;2;1;;;;180.7
2018-07-25;00:00:00;2;1;;;;180.7
2018-07-26;00:00:00;2;1;;;;180.7
2018-07-27;00:00:00;2;1;;;;180.7
2018-07-28;00:00:00;2;1;;;;180.7
2018-07-29;00:00:00;2;1;;;;180.7
2018-07-30;00:00:00;2;1;;;;178.9
2018-07-31;00:00:00;2;1;;;;180.7
